step,row,col,action,action_name,energy,samples,storm,mode
1,8,3,1,DOWN,199,0,False,EXPLORING
2,8,3,4,COLLECT,198,1,False,EXPLORING
3,8,4,3,RIGHT,197,1,False,EXPLORING
4,8,5,3,RIGHT,196,1,False,EXPLORING
5,7,5,0,UP,195,1,False,EXPLORING
6,6,5,0,UP,194,1,False,EXPLORING
7,6,6,3,RIGHT,193,1,False,EXPLORING
8,5,6,0,UP,192,1,False,EXPLORING
9,4,6,0,UP,191,1,False,EXPLORING
10,3,6,0,UP,190,1,False,EXPLORING
11,3,6,4,COLLECT,189,2,False,EXPLORING
12,2,6,0,UP,188,2,False,EXPLORING
13,1,6,0,UP,187,2,False,EXPLORING
14,1,7,3,RIGHT,186,2,False,EXPLORING
15,1,8,3,RIGHT,185,2,False,EXPLORING
16,2,8,1,DOWN,184,2,False,EXPLORING
17,3,8,1,DOWN,183,2,False,EXPLORING
18,4,8,1,DOWN,182,2,False,EXPLORING
19,4,7,2,LEFT,181,2,False,EXPLORING
20,4,7,4,COLLECT,180,3,False,EXPLORING
21,3,7,0,UP,179,3,False,EXPLORING
22,2,7,0,UP,178,3,False,EXPLORING
23,3,7,1,DOWN,177,3,False,EXPLORING
24,2,7,0,UP,176,3,False,EXPLORING
25,2,8,3,RIGHT,175,3,False,EXPLORING
26,2,9,3,RIGHT,174,3,False,EXPLORING
27,2,10,3,RIGHT,173,3,False,EXPLORING
28,1,10,0,UP,172,3,False,EXPLORING
29,0,10,0,UP,171,3,False,EXPLORING
30,0,11,3,RIGHT,170,3,False,EXPLORING
31,0,12,3,RIGHT,169,3,False,EXPLORING
32,0,13,3,RIGHT,168,3,False,EXPLORING
33,0,14,3,RIGHT,167,3,False,EXPLORING
34,1,14,1,DOWN,166,3,False,EXPLORING
35,2,14,1,DOWN,165,3,False,EXPLORING
36,3,14,1,DOWN,164,3,False,EXPLORING
37,4,14,1,DOWN,163,3,False,EXPLORING
38,5,14,1,DOWN,162,3,False,EXPLORING
39,6,14,1,DOWN,161,3,False,EXPLORING
40,6,13,2,LEFT,160,3,False,EXPLORING
41,7,13,1,DOWN,159,3,False,EXPLORING
42,8,13,1,DOWN,158,3,False,EXPLORING
43,8,12,2,LEFT,157,3,False,EXPLORING
44,9,12,1,DOWN,156,3,False,EXPLORING
45,9,11,2,LEFT,155,3,False,EXPLORING
46,10,11,1,DOWN,154,3,False,EXPLORING
47,10,10,2,LEFT,153,3,False,EXPLORING
48,10,9,2,LEFT,152,3,False,EXPLORING
49,9,9,0,UP,151,3,False,EXPLORING
50,8,9,0,UP,150,3,False,EXPLORING
51,8,8,2,LEFT,149,3,False,EXPLORING
52,7,8,0,UP,148,3,False,EXPLORING
53,7,7,2,LEFT,147,3,False,EXPLORING
54,7,7,4,COLLECT,146,4,False,EXPLORING
55,6,7,0,UP,145,4,False,EXPLORING
56,5,7,0,UP,144,4,False,EXPLORING
57,6,7,1,DOWN,143,4,False,EXPLORING
58,6,8,3,RIGHT,142,4,False,EXPLORING
59,6,9,3,RIGHT,141,4,False,EXPLORING
60,6,10,3,RIGHT,140,4,False,EXPLORING
61,6,11,3,RIGHT,139,4,False,EXPLORING
62,5,11,0,UP,138,4,False,EXPLORING
63,4,11,0,UP,137,4,False,EXPLORING
64,4,12,3,RIGHT,136,4,False,EXPLORING
65,3,12,0,UP,135,4,False,EXPLORING
66,2,12,0,UP,134,4,False,EXPLORING
67,2,13,3,RIGHT,133,4,False,EXPLORING
68,1,13,0,UP,132,4,False,EXPLORING
69,0,13,0,UP,131,4,False,EXPLORING
70,1,13,1,DOWN,130,4,False,EXPLORING
71,2,13,1,DOWN,129,4,False,EXPLORING
72,3,13,1,DOWN,126,4,False,EXPLORING
73,4,13,1,DOWN,125,4,False,EXPLORING
74,5,13,1,DOWN,124,4,False,EXPLORING
75,5,12,2,LEFT,123,4,False,EXPLORING
76,4,12,0,UP,122,4,False,EXPLORING
77,5,12,1,DOWN,121,4,False,EXPLORING
78,5,13,3,RIGHT,120,4,False,EXPLORING
79,6,13,1,DOWN,119,4,False,EXPLORING
80,7,13,1,DOWN,118,4,False,EXPLORING
81,7,14,3,RIGHT,117,4,False,EXPLORING
82,8,14,1,DOWN,115,4,True,EXPLORING
83,7,14,0,UP,113,4,True,RETURNING
84,6,14,0,UP,111,4,True,RETURNING
85,5,14,0,UP,109,4,True,RETURNING
86,5,13,2,LEFT,107,4,True,RETURNING
87,5,12,2,LEFT,105,4,True,RETURNING
88,5,11,2,LEFT,103,4,True,RETURNING
89,6,11,1,DOWN,101,4,True,RETURNING
90,6,10,2,LEFT,99,4,True,RETURNING
91,6,9,2,LEFT,97,4,True,RETURNING
92,7,9,1,DOWN,95,4,True,RETURNING
93,7,8,2,LEFT,93,4,True,RETURNING
94,7,7,2,LEFT,91,4,True,RETURNING
95,7,6,2,LEFT,85,4,True,RETURNING
96,7,5,2,LEFT,83,4,True,RETURNING
97,7,4,2,LEFT,81,4,True,RETURNING
98,7,3,2,LEFT,200,4,True,RETURNING
99,7,3,5,WAIT,200,4,True,DONE
