step,row,col,action,action_name,energy,samples,storm,mode
1,2,13,5,WAIT,200,0,False,
2,2,13,3,RIGHT,200,0,False,
3,2,13,4,COLLECT,200,0,False,
4,2,13,5,WAIT,200,0,False,
5,2,13,3,RIGHT,200,0,False,
6,2,13,4,COLLECT,200,0,False,
7,2,13,5,WAIT,200,0,False,
8,3,13,1,DOWN,199,0,False,
9,2,13,0,UP,200,0,False,
10,3,13,1,DOWN,199,0,False,
11,4,13,1,DOWN,198,0,False,
12,4,13,5,WAIT,197,0,False,
13,4,13,5,WAIT,196,0,False,
14,3,13,0,UP,195,0,False,
15,3,12,2,LEFT,194,0,False,
16,3,12,4,COLLECT,193,0,False,
17,2,12,0,UP,192,0,False,
18,2,12,4,COLLECT,191,0,False,
19,1,12,0,UP,190,0,False,
20,1,11,2,LEFT,189,0,False,
21,1,11,4,COLLECT,188,0,False,
22,2,11,1,DOWN,187,0,False,
23,2,10,2,LEFT,186,0,False,
24,3,10,1,DOWN,185,0,False,
25,3,10,4,COLLECT,184,0,False,
26,3,10,1,DOWN,183,0,False,
27,3,10,5,WAIT,182,0,False,
28,3,9,2,LEFT,181,0,False,
29,3,8,2,LEFT,180,0,False,
30,3,9,3,RIGHT,179,0,False,
31,3,10,3,RIGHT,178,0,False,
32,3,11,3,RIGHT,177,0,False,
33,3,12,3,RIGHT,176,0,False,
34,3,12,5,WAIT,175,0,False,
35,3,12,4,COLLECT,174,0,False,
36,3,12,4,COLLECT,173,0,False,
37,3,12,4,COLLECT,171,0,True,
38,3,13,3,RIGHT,169,0,True,
39,3,12,2,LEFT,167,0,True,
40,3,12,5,WAIT,165,0,True,
