step,row,col,action,action_name,energy,samples,storm,mode
1,8,3,1,DOWN,199,0,False,
2,8,3,4,COLLECT,198,1,False,
3,7,3,0,UP,200,1,False,
4,6,3,0,UP,199,1,False,
5,7,3,1,DOWN,200,1,False,
6,6,3,0,UP,199,1,False,
7,7,3,1,DOWN,200,1,False,
8,6,3,0,UP,199,1,False,
9,7,3,1,DOWN,200,1,False,
10,6,3,0,UP,199,1,False,
11,7,3,1,DOWN,200,1,False,
12,6,3,0,UP,199,1,False,
13,7,3,1,DOWN,200,1,False,
14,6,3,0,UP,199,1,False,
15,7,3,1,DOWN,200,1,False,
16,6,3,0,UP,199,1,False,
17,7,3,1,DOWN,200,1,False,
18,6,3,0,UP,199,1,False,
19,7,3,1,DOWN,200,1,False,
20,6,3,0,UP,199,1,False,
21,7,3,1,DOWN,200,1,False,
22,6,3,0,UP,199,1,False,
23,7,3,1,DOWN,200,1,False,
24,6,3,0,UP,199,1,False,
25,7,3,1,DOWN,200,1,False,
26,6,3,0,UP,199,1,False,
27,7,3,1,DOWN,200,1,False,
28,6,3,0,UP,199,1,False,
29,7,3,1,DOWN,200,1,False,
30,6,3,0,UP,199,1,False,
31,7,3,1,DOWN,200,1,False,
32,6,3,0,UP,199,1,False,
33,7,3,1,DOWN,200,1,False,
34,6,3,0,UP,199,1,False,
35,7,3,1,DOWN,200,1,False,
36,6,3,0,UP,199,1,False,
37,7,3,1,DOWN,200,1,False,
38,6,3,0,UP,199,1,False,
39,7,3,1,DOWN,200,1,False,
40,6,3,0,UP,199,1,False,
41,7,3,1,DOWN,200,1,False,
42,6,3,0,UP,199,1,False,
43,7,3,1,DOWN,200,1,False,
44,6,3,0,UP,199,1,False,
45,7,3,1,DOWN,200,1,False,
46,6,3,0,UP,199,1,False,
47,7,3,1,DOWN,200,1,False,
48,6,3,0,UP,199,1,False,
49,7,3,1,DOWN,200,1,False,
50,6,3,0,UP,199,1,False,
51,7,3,1,DOWN,200,1,False,
52,6,3,0,UP,199,1,False,
53,7,3,1,DOWN,200,1,False,
54,6,3,0,UP,199,1,False,
55,7,3,1,DOWN,200,1,False,
56,6,3,0,UP,199,1,False,
57,7,3,1,DOWN,200,1,False,
58,6,3,0,UP,199,1,False,
59,7,3,1,DOWN,200,1,False,
60,6,3,0,UP,199,1,False,
